COUNTRY_FLYING_MISSION,TGT_COUNTRY,TGT_LOCATION,LATITUDE,LONGITUDE,MSNDATE,TGT_TYPE,TGT_INDUSTRY
USA,ITALY,PONTELATONE,40,13,10/13/1943,,20
USA,NEW GUINEA,MUSHU ISLAND,-3.416666667,143.5833333,7/5/1944,UNIDENTIFIED TARGET,
USA,NEW GUINEA,TOEL,-7.983333333,131.25,3/18/1943,UNIDENTIFIED TARGET,
USA,SOLOMON ISLANDS,BOUGAINVILLE,-6.2,155.25,3/15/1944,UNIDENTIFIED TARGET,
USA,CHINA,SINTSIANG,29.11666667,113.25,8/29/1944,UNIDENTIFIED TARGET,
USA,JAPAN,MIYAKONOJO,31.73333333,131.0666667,4/27/1945,MIYAJONOJO AIFIELD,
USA,NEW GUINEA,POTSOAM HARBOR,-4.25,145,5/9/1944,BRIDGE,
USA,JAPAN,SHINGU CITY,33.73333333,136,3/24/1945,URBAN AREA,
USA,PHILIPPINE ISLANDS,LAL LO,18.16666667,121.6666667,3/6/1945,UNIDENTIFIED TARGET,
USA,JAPAN,KINOMOTO,33.9,136.1,8/9/1945,URBAN AREA,
USA,PHILIPPINE ISLANDS,LIBBY,7.05,125.5333333,1/10/1945,WAREHOUSES,
USA,NEW GUINEA,HUMBOLDT BAY,-2.583333333,140.75,4/12/1944,ANTI ARICRAFT POSITI,
USA,PHILIPPINE ISLANDS,TUGUEGARAO,17.66666667,121.75,4/11/1945,BRIDGE,
USA,BURMA,MAYMYO,22.03333333,96.46666667,12/19/1944,BARRACKS,
USA,BURMA,BUDALIN,22.41666667,95.16666667,9/25/1944,BY PASS,
USA,BURMA,MOGAUNG,25.3,96.93333333,7/25/1943,RICE MILL,
USA,PHILIPPINE ISLANDS,MT LUSEN,16.33333333,120.5,3/28/1945,UNIDENTIFIED TARGET,
USA,BISMARK ARCHIPELAGO,VUNAKANAU,-4.316666667,152.1833333,5/16/1944,SUPPLY AREA,
USA,CHINA,KIYANG,27.08333333,118.0333333,9/20/1944,UNIDENTIFIED TARGET,
USA,JAVA,KELA,-8.6,120.8166667,8/13/1943,VILLAGE,
USA,PHILIPPINE ISLANDS,MACTAN ISLAND,10.33333333,124,12/11/1944,BUPPLIES,
USA,CELEBES ISLANDS,LIANG,-3.516666667,128.3,10/9/1944,AIRDROME,
USA,PHILIPPINE ISLANDS,NEGRITOS,10.73333333,123.1833333,4/28/1945,UNIDENTIFIED TARGET,
USA,NEW GUINEA,BUNA,-8.666666667,148.4166667,11/30/1942,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,SAN FERNANDO,16.633333,120.3,3/11/1945,GUN POSITION,
USA,CHINA,LINGLING,26.25,111.5333333,9/23/1944,UNIDENTIFIED TARGET,
USA,BURMA,RANGOON,16.8,96.15,4/30/1943,SHIPPING IN RIVER,
USA,PHILIPPINE ISLANDS,TAYUG,16,120.75,1/25/1945,UNIDENTIFIED TARGET,
USA,PHILIPPINE ISLANDS,17 26 N 121 4,17.43333333,121.7833333,6/23/1945,TROOPS,
USA,BISMARK ARCHIPELAGO,CAPE GLOUCESTER,-5.416666667,148.4166667,7/5/1943,UNIDENTIFIED TARGET,
USA,CHINA,TEHSHAN,20.96666667,111.5833333,12/8/1943,UNIDENTIFIED TARGET,
USA,NEW GUINEA,SHAGGY RIDGE,-5.954167,146.375,1/19/1944,GROUND SUPPORT,
USA,BURMA,MANDAU,24.33333333,97.5,2/13/1943,BARRACKS,
USA,CHINA,CHALING,26.93333333,113.5333333,7/26/1944,CAVALRY,
USA,CELEBES ISLANDS,TOA RIVER,-4.866666667,120.3,5/16/1944,UNIDENTIFIED TARGET,
USA,SOLOMON ISLANDS,ROTA,-6.416666667,155.3333333,12/17/1944,MISCELLANEOUS TARGET,
USA,UNKNOWN,PARCEL ISLAND [PARACEL ISLANDS],16.5,112,12/22/1944,UNIDENTIFIED TARGET,
USA,NEW GUINEA,KAI ISLAND,-5.666666667,132.9166667,10/13/1943,UNIDENTIFIED TARGET,
USA,FORMOSA AND RYUKYU ISLANDS,JITSUGETSUTAN,23.85,120.8666667,3/23/1945,POWER PLANT,
USA,SOLOMON ISLANDS,BALLALE,-7,155.9,2/17/1944,AIRDROME,
USA,JAPAN,YOKUSUKA,35.26666667,139.6666667,5/16/1945,URBAN AREA,
USA,CHINA,RAKLI BAY,19.13333333,108.7166667,4/18/1945,DOCKS,
USA,CAROLINE ISLANDS,TAGAULAP ISLAND,7.366666667,143.8833333,5/15/1944,UNIDENTIFIED TARGET,
USA,BURMA,KATKYO,25.33333333,97.4,5/17/1944,GROUND SUPPORT,
USA,CHINA,WEICHOW,37.33333333,106.4833333,7/24/1944,JUNKS,
USA,BURMA,MAHLWAGON,16.81666667,96.18333333,4/22/1943,MARSHALLING YARDS,
USA,JAPAN,SHIZUOKA,34.96666667,138.3666667,3/6/1945,URBAN AREA,
GREAT BRITAIN,GREECE,GILAVE - BUSI,41.15,20.17,3/12/1941,,
USA,PHILIPPINE ISLANDS,CUMAO,18.08333333,121.75,5/2/1945,SUPPORT GROUND TROOP,
USA,BURMA,MYITKYINA,25.38333333,97.4,3/20/1944,SUPPLY DUMPS,
USA,PHILIPPINE ISLANDS,SANTA MARIA,14.5,121.4166667,4/25/1945,TROOP CONCENTRATION,
USA,MARIANAS ISLANDS,TINIAN,15.03333333,145.8333333,7/31/1944,WOODED AREA,
NEW ZEALAND,BISMARK ARCHIPELAGO,VUNAPOPE,-4.333333333,152.3333333,6/28/1944,SUPPLY AREA,
USA,PHILIPPINE ISLANDS,CLARK FIELD,15.16666667,120.5833333,2/7/1945,GROUND SUPPORT,
USA,CELEBES ISLANDS,AMBON,-3.700432,128.17547,10/24/1944,RESERVOIR,
USA,PHILIPPINE ISLANDS,OSBOY,14.83333333,121.0833333,4/16/1945,UNIDENTIFIED TARGET,
USA,NEW GUINEA,HANSA BAY,-4.166666667,144.9166667,4/10/1944,ANTI AIRCRAFT POSITI,
USA,JAPAN,UWAJIMA,33.23333333,132.5666667,5/12/1945,URBAN AREA,
USA,BURMA,MOHNYIN,24.78333333,96.36666667,1/20/1944,UNIDENTIFIED TARGET,
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,5/13/1944,AIRFIELD,
USA,PHILIPPINE ISLANDS,IPO,14.83333333,121.1666667,5/18/1945,TROOPS,
USA,ITALY,PIGNATARO,41.2,14.18,1/19/1944,,10
USA,NEW GUINEA,ANUMBE RIVER,-3.416666667,143.1666667,6/19/1944,SUPPLY AREA,
USA,BURMA,LASHIO,22.93333333,97.75,2/1/1945,AREA,
GREAT BRITAIN,BURMA,YENANGYAUNG OIL FIELDS,20.458261,94.873181,5/1/1942,OIL,
USA,CELEBES ISLANDS,TIMOR ISLAND,-5.383333333,123.6333333,11/19/1944,UNIDENTIFIED TARGET,
USA,FRENCH INDO CHINA,HANOI,21.2,105.8666667,7/4/1945,BARGES,
USA,BURMA,RANGOON,16.8,96.15,10/3/1943,MINGALADON AIRDROME,
USA,CHINA,SICHWAN,33.8,112.55,5/25/1945,AMMO DUMP,
USA,ITALY,COSENZA,39.27,16.25,5/22/1944,,810
USA,BURMA,HSENWI,23.3,97.96666667,1/25/1945,GAS DUMP,
USA,VOLCANO AND BONIN ISLANDS,CHICHI JIMA,27.06666667,142.2166667,6/11/1945,RADIO STATION 7,
USA,NEW GUINEA,BONGA,-6.416666667,147.8333333,1/26/1944,UNIDENTIFIED TARGET,
USA,CHINA,YUTZE,37.65,112.7333333,6/19/1945,BRIDGES,
USA,CELEBES ISLANDS,WEDA BAY,0.083333333,128.0833333,7/5/1944,BARGE,
USA,ITALY,AVEZZANO,42.03,13.43,1/12/1944,,630
USA,JAPAN,TOMITAKA,32.4,131.6333333,6/19/1945,URBAN AREA,
GREAT BRITAIN,GREECE,DUKATI,40.3,19.5,3/30/1941,,
USA,FORMOSA AND RYUKYU ISLANDS,AMAMI,28.3,129.4,6/15/1945,UNIDENTIFIED TARGET,
USA,BURMA,MEIKTILA,20.91666667,95.83333333,2/20/1945,UNIDENTIFIED TARGET,
USA,SOLOMON ISLANDS,UGUIMA RIVER,-6.766666667,155.7666667,6/12/1944,BRIDGE,
USA,CELEBES ISLANDS,KAIRATOE,-3.35,128.359038,10/16/1944,AIRDROME,
USA,FRENCH INDO CHINA MINING,CAM RANH BAY,11.83333333,109.2166667,12/17/1944,UNIDENTIFIED TARGET,
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,6/28/1944,ROAD,
USA,CELEBES ISLANDS,WEDA BAY,0.083333333,128.0833333,8/12/1944,BARGE,
USA,VOLCANO AND BONIN ISLANDS,IWO JIMA,24.78333333,141.3166667,2/8/1945,DISPERSAL AREA,
USA,JAPAN,AOMORI,40.83333333,140.75,7/28/1945,URBAN AREA,
USA,BURMA,HSENWI,23.3,97.96666667,2/2/1945,TROOPS,
USA,CELEBES ISLANDS,CERAM ISLAND,-3.25,129.5,7/31/1944,UNIDENTIFIED TARGET,
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,9/28/1943,UNIDENTIFIED TARGET,
USA,NEW GUINEA,TADJI,-3.166666667,142.4166667,4/21/1944,PERSONNEL,
USA,SOLOMON ISLANDS,MONOITU,-6.683333333,155.4333333,3/3/1944,UNIDENTIFIED TARGET,
USA,FORMOSA AND RYUKYU ISLANDS,TAKAO,22.63333333,120.2833333,1/29/1945,FACTORIES,
USA,JAPAN,TOKUYAMA,34.05,131.8,7/29/1945,URBAN AREA,
USA,CELEBES ISLANDS,LOLOBATA,1.25,128.1166667,11/28/1944,AIRDROME,
USA,PHILIPPINE ISLANDS,NAGUILIAN,16.533889,120.396944,6/17/1945,AREA,
USA,MARIANAS ISLANDS,GUGUAN ISLAND,17.31666667,145.85,3/9/1945,UNIDENTIFIED TARGET,
USA,CELEBES ISLANDS,TIMOR ISLAND,-5.383333333,123.6333333,12/28/1944,BRIDGE,
USA,ITALY,CETRARO,39.5,15.93,8/31/1943,,20
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,8/11/1944,UNIDENTIFIED TARGET,
USA,JAVA,BANOA,-8.6,115.3,10/23/1944,UNIDENTIFIED TARGET,
USA,MARIANAS ISLANDS,PAGAN ISLAND,18.13333333,145.7833333,11/22/1944,AIRFIELD,
NEW ZEALAND,NEW GUINEA,WARANGOI,-4.48333,152.15,8/7/1945,PERSONNEL AREA,
USA,BURMA,HSENWI,23.3,97.96666667,1/4/1945,TOWN,
USA,BURMA,NAMKWI,25.43333333,97.35,5/28/1944,BRIDGE,
USA,CELEBES ISLANDS,NAMLEA,-3.266666667,127.1,8/13/1944,AIRDROME,
USA,BURMA,SHANYWA,17.8,95.75,4/26/1945,ENEMY POSITIONS,
USA,JAVA,FLORES SFA,-7,124,12/5/1944,UNIDENTIFIED TARGET,
GREAT BRITAIN,BURMA,KALEWA,23.2,94.3,4/18/1944,,
USA,FRENCH INDO CHINA,TOURANE BAY,16.13333333,108.1833333,2/1/1945,UNIDENTIFIED TARGET,
USA,CAROLINE ISLANDS,DUBLON ISLAND,7.383333333,151.8833333,6/24/1944,TACTICAL TARGET,
USA,PHILIPPINE ISLANDS,CALLANG,17.01666667,121.6333333,5/25/1945,JAP PERSONNEL AREA,
USA,BURMA,MOLO,23.38333333,96.88333333,2/5/1945,GUN POSITION,
USA,FORMOSA AND RYUKYU ISLANDS,HOKKO,23.58333333,120.2833333,6/19/1945,GUN POSITIONS,
USA,PHILIPPINE ISLANDS,KABAYAN,16.66666667,120.8333333,8/4/1945,TROOP CONCENTRATIONS,
USA,FRENCH INDO CHINA,NINH BINN,20.25,106,11/29/1944,RAILROAD BRIDGE,
USA,NEW GUINEA,KUNAI,-6.633333333,146.6333333,4/21/1944,S TAJI DROME,
USA,BURMA,ALEDAW,23.866277,96.115851,12/9/1944,STORES,
USA,BORNEO,BORNEO,0.01,114.01,11/26/1944,SHIPPING,
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,4/23/1945,BARGES,
USA,CHINA,HENGYANG,26.93333333,112.5833333,5/2/1945,AIRFIELD,
USA,BURMA,KYAUKTAW,20.75,93,9/16/1944,UNIDENTIFIED TARGET,
USA,NEW GUINEA,WAKOE ISLAND,-1.916666667,139,5/14/1944,ARARA VILLAGE,
USA,PHILIPPINE ISLANDS,MAILAG,8,125.0833333,11/5/1944,BRIDGE,
USA,CHINA,HENGYANG,26.93333333,112.5833333,3/26/1945,UNIDENTIFIED TARGET,
USA,NEW GUINEA,MALIN,-3.4,143.0333333,11/7/1944,VILLAGE,
USA,PHILIPPINE ISLANDS,RIZAL,10.923333,125.021389,5/24/1945,UNIDENTIFIED TARGET,
USA,BURMA,KALAW,20.63333333,96.56666667,3/14/1945,ENEMY POSITIONS,
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,12/22/1943,AIRFIELD,
USA,CHINA,TUNGANHSIEN,26.18333333,111.25,9/11/1944,RAILROAD BRIDGE,
USA,PHILIPPINE ISLANDS,MINDANAO,8,125,3/4/1945,BARRACKS,
USA,FORMOSA AND RYUKYU ISLANDS,TOSHIEN,23.76666667,120.65,5/11/1945,UNIDENTIFIED TARGET,
USA,BURMA,TAUNGDWINGYI,20,95.55,1/3/1945,MARSHALLING YARDS,
USA,VOLCANO AND BONIN ISLANDS,IWO JIMA,24.78333333,141.3166667,12/8/1944,UNIDENTIFIED TARGET,
USA,ITALY,CEPRANO,41.55,13.53,2/28/1944,,780
USA,PHILIPPINE ISLANDS,SAN JOSE,15.8,120.983333,2/2/1945,UNIDENTIFIED TARGET,
USA,MARIANAS ISLANDS,SAIPAN,15.2,145.75,6/30/1944,TROOPS,
USA,PHILIPPINE ISLANDS,JOLO ISLAND,5.916666667,121.1666667,7/28/1945,UNIDENTIFIED TARGET,
USA,ITALY,CIVITAVECCHIA,42.1,11.78,12/14/1943,,710
USA,CHINA,KWEILIN,25.23333333,110.2,7/28/1945,TANKS,
USA,BURMA,MAGWE,20.16666667,94.91666667,12/18/1944,STORES,
USA,NEW GUINEA,WIRUI,-3.583333333,143.6333333,7/12/1944,BRIDGE,
USA,FRENCH INDO CHINA,SAIGON,10.81666667,106.6833333,5/3/1945,OIL INSTALLATIONS,
