COUNTRY_FLYING_MISSION,TGT_COUNTRY,TGT_LOCATION,LATITUDE,MSNDATE,TGT_TYPE,TGT_INDUSTRY
USA,PHILIPPINE ISLANDS,IPO,14.83333333,121.1666667,5/17/1945,121.1666667,80 FS
USA,CELEBES ISLANDS,AMBON,-3.700432,128.17547,3/25/1943,128.17547,319 BS
USA,PHILIPPINE ISLANDS,BATAAN,13.66666667,121.4166667,6/13/1945,121.4166667,3 FS
USA,NEW GUINEA,BUT,-3.416666667,143.25,3/26/1944,143.25,400 BS
USA,JAPAN,CHIBA,35.6,140.1333333,12/9/1944,140.1333333,888
USA,SOLOMON ISLANDS,BONIS,-5.433333333,154.7166667,11/26/1943,154.7166667,70 BS
USA,NEW GUINEA,BUT,-3.416666667,143.25,2/24/1944,143.25,89 S
USA,BURMA,WANLING,21.01666667,98.06666667,1/20/1945,98.06666667,25 D
USA,BURMA,NAMHKAI,22.35,97.2,9/29/1944,97.2,490 BS
USA,VOLCANO AND BONIN ISLANDS,IWO JIMA,24.78333333,141.3166667,12/21/1944,141.3166667,98 BS
USA,CHINA,CANTON,23.18333333,113.2333333,5/9/1945,113.2333333,19 BS
USA,PHILIPPINE ISLANDS,PADADA,6.666666667,125.3333333,12/14/1944,125.3333333,321 BS
USA,NEW GUINEA,CHAROV,-3.333333333,142.7333333,6/13/1944,142.7333333,387 BS
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,6/17/1944,143.6666667,418 BS
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,5/30/1943,143.6666667,65 BS
USA,BURMA,SALANG,24.08333333,97.6,2/14/1943,97.6,673 BS
USA,ITALY,COSENZA,39.27,16.25,12/7/1943,16.25,27 FBG
USA,CELEBES ISLANDS,HALMAHERA,1,128,12/22/1944,128,339 FS
USA,CHINA,YOCHOW,29.38333333,113.15,8/29/1944,113.15,374 BS
USA,BURMA,MOULMEIN,16.491389,97.625556,10/19/1944,97.625556,493 BS
USA,BURMA,MOGAUNG,25.3,96.93333333,6/23/1944,96.93333333,88 FS
USA,FRENCH INDO CHINA,HA TRUNG,21.35,107.5166667,2/19/1944,107.5166667,22 BS
USA,NEW GUINEA,BUNA MISSION - GOV'T BLDGS,-8.674806,148.423919,12/21/1942,148.423919,3 BG
USA,BURMA,LOI PAO,23.58333333,97.75,12/3/1944,97.75,90 FS
USA,BORNEO,SERIA,4.666666667,114.55,12/27/1944,114.55,307 BG
USA,NEW GUINEA,BIAK,-1,136,7/9/1944,136,82 FS
USA,PALAU ISLANDS,KOROR ISLAND,7.333333333,134.5,8/26/1944,134.5,370 BS
USA,PHILIPPINE ISLANDS,MANKAYAN,16.83333333,120.8333333,7/21/1945,120.8333333,7 FS
USA,JAPAN,YOKKAICHI,34.96666667,136.6166667,3/11/1945,136.6166667,499 BG
USA,NEW GUINEA,KAMIRIK,-0.95,134.8,5/23/1944,134.8,63 BS
USA,BURMA,LETKAPIN,21.88333333,95.48333333,4/27/1945,95.48333333,6 FS
USA,JAPAN,OSAKA,34.66666667,135.5,1/24/1945,135.5,888
USA,FORMOSA AND RYUKYU ISLANDS,GIRAN,24.76666667,121.75,5/31/1945,121.75,822 BS
USA,BISMARK ARCHIPELAGO,RABAUL,-4.2,152.2,6/7/1944,152.2,400 BS
USA,NEW GUINEA,MOEMI RIVER,-1.5,134.0833333,7/13/1944,134.0833333,418 BS
USA,NEW GUINEA,BOGADJIM,-5.416666667,145.75,8/3/1943,145.75,403 BS
USA,PHILIPPINE ISLANDS,MT MALEPNUYO,14,121.25,4/29/1945,121.25,35 FS
USA,BURMA,MONGMIT,23.11666667,96.66666667,12/31/1944,96.66666667,59 FS
USA,PHILIPPINE ISLANDS,BALETE PASS,16.08333333,120.9166667,5/23/1945,120.9166667,822 BS
USA,VOLCANO AND BONIN ISLANDS,IWO JIMA,24.78333333,141.3166667,1/29/1945,141.3166667,26 BS
USA,BISMARK ARCHIPELAGO,BORGEN BAY,-5.483333333,148.5333333,6/13/1943,148.5333333,405 BS
USA,ITALY,VITERBO,42.42,12.12,4/11/1944,12.12,27 FBG
USA,CELEBES ISLANDS,BOELLA,-3.166666667,130.4666667,10/21/1944,130.4666667,672 S
USA,NEW GUINEA,KARABORECAPE,-2.666666667,134.3333333,11/11/1944,134.3333333,675 S
USA,PHILIPPINE ISLANDS,SINILOAN,14.41666667,121.4166667,5/6/1945,121.4166667,80 FS
USA,FORMOSA AND RYUKYU ISLANDS,MATO,23.18333333,120.2333333,6/22/1945,120.2333333,433 FS
USA,PHILIPPINE ISLANDS,LIPA,13.91666667,121.1666667,3/28/1945,121.1666667,311 FS
USA,NEW GUINEA,TADJMI,-3.166666667,142.4166667,4/15/1944,142.4166667,71 BS
USA,NEW GUINEA,AWAR,-4.166666667,144.8333333,5/12/1944,144.8333333,421 FS
USA,CHINA,HANKON,30.6,115.3333333,3/28/1945,115.3333333,373 BS
USA,BURMA,MOGAUNG,25.3,96.93333333,2/9/1944,96.93333333,528 S
USA,BORNEO,HIMM TARAKAN,3.366666667,177.5833333,5/26/1945,177.5833333,5 BG
GREAT BRITAIN,BURMA,AKYAB,20.15,92.9,4/1/1944,92.9,159/355
USA,NEW GUINEA,BEEUW,-0.133333333,130.6833333,1/28/1945,130.6833333,42 BG
USA,PHILIPPINE ISLANDS,VERDE ISLAND,13.58333333,121.0833333,4/2/1945,121.0833333,41 FS
USA,CELEBES ISLANDS,HATETABAKO,1.25,128.1,10/19/1944,128.1,80 FS
USA,PALAU ISLANDS,PELELIU ISLAND,7,134.2333333,7/20/1944,134.2333333,63 BS
USA,CHINA,LUNGLING,24.63333333,98.83333333,5/18/1944,98.83333333,375 BS
USA,NEW GUINEA,GONA AREA,-8.616666667,148.2833333,11/29/1942,148.2833333,43 BG
USA,BURMA,NAWNGKAI,20.61666667,97.93333333,2/7/1945,97.93333333,90 FS
USA,NEW GUINEA,SUAIN,-3.333333333,143,6/18/1944,143,822 BS
USA,PHILIPPINE ISLANDS,WAWA,14.75,121.1666667,3/27/1945,121.1666667,433 FS
USA,CHINA,HAINAN ISLAND,30.6,114.3333333,2/16/1945,114.3333333,16 D
USA,BURMA,SAWNGHKA,25.16666667,96.58333333,4/14/1944,96.58333333,89 FS
USA,CELEBES ISLANDS,GOEROEA,1.116666667,128.1,12/8/1944,128.1,68 FS
USA,MARIANAS ISLANDS,PAGAN ISLAND,18.13333333,145.7833333,10/16/1944,145.7833333,819 BS
USA,NEW GUINEA,MANOKWARI,-0.833333333,134.0833333,5/26/1944,134.0833333,530 BS
USA,BURMA,NAMTU,23.083333,97.4,2/25/1945,97.4,90 FS
USA,PHILIPPINE ISLANDS,SANTA FE,11.166667,123.783333,5/23/1945,123.783333,41 FS
USA,JAPAN,NAGOYA,35.13333333,136.9,3/11/1945,136.9,9 BG
USA,NEW GUINEA,OLD BOBDUBI BID,-7.066666667,147.0166667,7/9/1943,147.0166667,405 BS
USA,VOLCANO AND BONIN ISLANDS,CHICHI JIMA,27.06666667,142.2166667,2/12/1945,142.2166667,26 BS
USA,PHILIPPINE ISLANDS,TANGADON,17.5,121.5,3/18/1945,121.5,405 BS
USA,PHILIPPINE ISLANDS,TAYABAS,14,121.5833333,3/22/1945,121.5833333,90 S
USA,BURMA,MYITKYINA,25.38333333,97.4,5/11/1944,97.4,83 BS
USA,BURMA,BHAMO,24.25,97.23333333,9/26/1944,97.23333333,81 BS
USA,CELEBES ISLANDS,HAROEKOE,-3.6,128.425082,8/17/1944,128.425082,65 BS
USA,CAROLINE ISLANDS,PONAPE ISLAND,7,158.4166667,9/15/1944,158.4166667,820 BS
USA,JAPAN,NAGOYA,35.13333333,136.9,3/11/1945,136.9,29 BG
USA,SOLOMON ISLANDS,BOUGAINVILLE,-6.2,155.25,11/11/1943,155.25,70 BS
USA,NEW GUINEA,UTAROM,-3.6166666,133.666666,9/11/1944,133.666666,388 S
USA,PHILIPPINE ISLANDS,MANKAYAN,16.83333333,120.8333333,6/13/1945,120.8333333,9 FS
USA,PHILIPPINE ISLANDS,SILAY,10.8,122.9666667,2/7/1945,122.9666667,867 BS
USA,CELEBES ISLANDS,GALELA,1.833333333,127.8,9/12/1944,127.8,500 BS
USA,JAPAN,TOKYO,35.66666667,139.7,1/26/1945,139.7,888
USA,BURMA,HSENWI,23.3,97.96666667,9/11/1944,97.96666667,490 BS
USA,PHILIPPINE ISLANDS,NEGROS ISLAND,10,123,4/8/1945,123,672 S
USA,BORNEO,TENOM,5.166666667,115.9166667,5/26/1945,115.9166667,42 BG
NEW ZEALAND,NEW IRELAND,NEW IRELAND SWEEP,-2.733333333,150.85,12/1/1944,150.85,NO. 19 SQUADRON RNZAF
USA,PHILIPPINE ISLANDS,TEBBO,16.25,120.75,5/10/1945,120.75,8 FS
USA,FRENCH INDO CHINA,CAT BAI,11.86666667,109.1833333,5/5/1944,109.1833333,375 BS
USA,CELEBES ISLANDS,BOEROE ISLAND,-3.25,127.104408,9/25/1944,127.104408,65 BS
USA,BISMARK ARCHIPELAGO,TOBERA,-4.4,152.3166667,5/30/1944,152.3166667,75 BS
USA,BURMA,MYINGYAN,21.45,95.38333333,5/5/1943,95.38333333,22 BS
USA,PHILIPPINE ISLANDS,MINDORO,12.91666667,121.1666667,12/26/1944,121.1666667,63 BS
USA,SOLOMON ISLANDS,BONIS,-5.433333333,154.7166667,12/28/1943,154.7166667,370 BS
USA,NEW GUINEA,KURUNAT,-4.483333333,145.4,4/23/1944,145.4,340 FS
USA,NEW GUINEA,POTSOAM HARBOR,-4.25,145,4/30/1944,145,69 FS
AUSTRALIA,TIMOR,MOABISSE,-8.838056,125.597222,11/28/1942,125.597222,2 SQ
USA,BURMA,PYINMANA,19.73333333,96.21666667,3/31/1943,96.21666667,IATF (490 BS)
USA,NEW GUINEA,SUAIN,-3.333333333,143,6/29/1944,143,387 S
USA,PHILIPPINE ISLANDS,CORREGIDOR,14.41666667,120.5833333,2/5/1945,120.5833333,400 BS
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,12/23/1943,143.6666667,405 BS
USA,JAPAN,KYUSMO,33.53333333,130.4666667,7/31/1945,130.4666667,431 BS
USA,CHINA,SZESHUI,35.73333333,117.2666667,6/14/1945,117.2666667,528 FS
USA,NEW GUINEA,SUAIN,-3.333333333,143,6/29/1944,143,672 BS
USA,CHINA,HSINSIASSUCHI,26,117,5/6/1945,117,528 FS
USA,NEW GUINEA,ALEXISHAFEN,-5.083333333,145.7833333,9/1/1943,145.7833333,405 BS
USA,NEW GUINEA,ALEXISHAFEN,-5.083333333,145.7833333,9/16/1943,145.7833333,64 BS
USA,BISMARK ARCHIPELAGO,KABAGADA POINT,-4.2,152.1166667,7/9/1944,152.1166667,13 C
USA,NEW GUINEA,BABO,-2.583333333,133.4166667,7/25/1944,133.4166667,33 BS
USA,KOREA OR CHOSEN,NANYO,37.2,126.6666667,12/21/1944,126.6666667,75 FS
